# 対処行動・予防方法データ
# フォーマット: name|category|effectiveness|ease_of_use|recommendation|description

# 測定・モニタリング系
炭水化物管理（200〜330g）|nutrition|3|2|3|1日の炭水化物を200〜330gに管理する（トレーニング量で調整）
消化に良いものを食べる|nutrition|4|3|4|基本的には消化に良いものを食べるようにする
パスタを柔らかくゆでる|nutrition|3|3|3|栄養摂取が目的ならパスタは柔らかくゆでるなど
乳酸菌サプリメント|nutrition|3|4|3|乳酸菌サプリメントを活用する
ゼリー|nutrition|3|4|3|ゼリーを活用する

# 運動・トレーニング系
レジスタンス運動（18〜24 METs・時／週、REP7~9）|physical|4|2|3|各筋群 週8〜12セット レジスタンス運動：18〜24 METs・時／週, REP7~9
有酸素運動（3〜6 METs・時／週）|physical|4|2|3|有酸素運動：3〜6 METs・時／週
各筋群 週8〜12セット|physical|4|2|3|各筋群 週8〜12セットのトレーニングを行う

# 歯科・医療系
矯正歯科に通う|medical|4|2|4|矯正歯科に通って歯の状態を管理する
マウスピースを使用・メンテナンス|medical|4|3|4|マウスピースを使用・メンテナンスして就寝時の食いしばりを防ぐ
歯矯正（将来的）|medical|4|1|3|将来的には歯矯正で右奥歯の傾きを治すことも視野に含めたい

# チェックリスト・記録系
チェックリストで採点を行う|monitoring|4|3|4|チェックリストで採点を行って状態を確認する
非道徳的な言動を記録する|monitoring|3|3|3|今日、非道徳的な言動を見聞き／想像した出来事を記録する
考え込んだ時間を分単位で記録する|monitoring|3|3|3|その後に一人で考え込んだ時間も分単位で記録する
布団にいた総時間を記録する|monitoring|3|3|3|起床後30分以内に「布団にいた総時間」を記録する
開始時刻と終了予定時刻を記録する|monitoring|4|3|4|作業開始前に開始時刻と終了予定時刻を記録する
予定行動の数を数える|monitoring|3|3|3|１日の予定行動の数を数え、自分が一定時間内にいくつの予定行動を管理できるのか把握する
限度以上の予定行動を抱えない|monitoring|4|3|4|限度以上の数の予定行動を抱えないようにする
時間を非表示にしてタイマーを押す|monitoring|3|3|3|時間を非表示にしてタイマーを押す
5分経ったと思ったら時計を見る|monitoring|3|3|3|5分経ったと思ったら時計を見る
時間感覚の乖離を確認する|monitoring|4|3|4|実際の経過時間と乖離が大きくなった場合は時間感覚の乖離とみなす
開始時刻/終了予定時刻を入力する|monitoring|3|3|3|リマインダーツールで開始通知が鳴ったら開始時刻／終了予定時刻を入力する
開始時刻から体内時計を測定する|monitoring|3|3|3|開始時刻から体内時計を測定する
対策表を確認する|monitoring|3|3|3|作業中に「イベント境界が少ない（時間が飛ぶ感覚）」に気づいた場合、対策表を確認し対策を行う

# その他の具体的行動
孤独な時間を減らす（予防）|prevention|4|3|4|道徳的外傷を負った時点で短期回復の見込みはないので、孤独な時間を減らすなど事前の予防が肝心である
回復ルーティンを予定化する|prevention|4|3|4|午前中に回復ルーティン（ヨガ／太極拳＋水分・電解質）を"予定化"して実施する
メタ認知でラベル付けする|prevention|4|3|4|「もうずっとこのままでいい／一生そこにいる」系の考えが出ていないか点検し、出ていたらメタ認知でラベル付けする
イベント境界を短くする|prevention|4|3|4|セーバリングなどイベント境界を短くする対処行動を取る
交流を避ける/できるだけ交流しないよう工夫する|prevention|3|3|3|道徳的観念が一致しない場合は交流を避ける/できるだけ交流しないよう工夫する
交流の前後に対策を行えるだけのバッファを確保する|prevention|3|3|3|交流しなければならない場合は交流の前後に対策を行えるだけのバッファを確保する
比喩や匿名化など具体的な情報を伏せてもよいので他者に相談できる形にする|prevention|3|3|3|「誰にも話せない」方向に行かないように、比喩や匿名化など具体的な情報を伏せてもよいので他者に相談できる形にして自己開示する
40分に1度回復行動を入れる|prevention|4|3|4|40分に1度に回復行動（太極拳・パルスシフト）を入れる
起床後30分以内に測定・記録する|prevention|4|3|4|起床後30分以内に脈拍とSpO2を測り、あわせて「布団にいた総時間」を記録する
午前中に回復ルーティンを実施する|prevention|4|3|4|午前中に回復ルーティン（ヨガ／太極拳＋水分・電解質）を"予定化"して実施する
考えが出ていないか点検する|prevention|3|3|3|「もうずっとこのままでいい／一生そこにいる」系の考えが出ていないか点検する
開始時間（十分なバッファを含む）になったら連絡するように頼む|prevention|3|2|3|重要な予定または心理的要因で無意識に回避しがちな予定がある場合、開始時間（十分なバッファを含む）になったら連絡するように頼み、人による心理的物理的介入を行う
活動量と栄養摂取量のバランスを管理する（将来的）|prevention|3|1|3|将来的にはスケジューリングツールに活動量と栄養摂取量のバランスを管理する仕組みを統合する予定
周囲への理解を目的とした対策を考える|prevention|3|2|3|治療による対策だけでなく周囲への理解を目的とした対策も考える必要がある

