# 対処行動・予防が必要になる場面データ
# フォーマット: name|category|severity_level|description

# 身体症状系
業務遂行不能のリスク|cognitive|severe|業務遂行不能に陥るリスクが高い状態
パフォーマンスの低下|cognitive|moderate|パフォーマンスの低下を招く
モニタリング不足|cognitive|moderate|モニタリング不足（自分の心身の異常を正確に把握できない／把握しても止められない）
セルフモニタリングの低下|cognitive|moderate|セルフモニタリングも低下する
イベント境界が少ない（時間が飛ぶ感覚）|cognitive|moderate|イベント境界が少ない（時間が飛ぶ感覚）に気づいた場合
時間感覚の乖離|cognitive|moderate|時間感覚の乖離が激しい
時間感覚の乖離が激しい|cognitive|moderate|時間感覚の乖離が激しい
予定通りにいかない|cognitive|moderate|予定通りにいかない
時間管理の失敗|cognitive|moderate|時間管理の失敗を予防する
低酸素感|cognitive|moderate|低酸素感や疲労で質が落ちる局面
疲労で質が落ちる局面|cognitive|moderate|低酸素感や疲労で質が落ちる局面
前頭葉機能低下に近い症状|cognitive|moderate|作業後に"前頭葉機能低下に近い症状"が出る
質が落ちたまま押し切ってさらに崩す流れ|cognitive|moderate|質が落ちたまま押し切ってさらに崩す流れ
過集中・強迫的な稼働による二次的悪化|cognitive|moderate|過集中・強迫的な稼働による二次的悪化
ぼーっとする|cognitive|moderate|LLMチャット利用後の"ぼーっとする"症状
指が動きづらい|cognitive|moderate|LLMチャット利用後の"指が動きづらい"症状
低下を放置して作業を継続するパターン|cognitive|moderate|低下を放置して作業を継続するパターン
認知的負荷が限界を超える前|cognitive|moderate|認知的負荷が限界を超える前に介入できる
身体の崩れ|cognitive|moderate|身体の崩れがそのまま認知機能・生産性の低下につながる
認知機能・生産性の低下→減益→業務増→負荷増の悪循環|cognitive|severe|認知機能・生産性の低下→減益→業務増→負荷増の悪循環につながる
パフォーマンス低下→減益→業務増→負荷増の循環|cognitive|severe|パフォーマンス低下→減益→業務増→負荷増の循環を生む
高度な推論を必要とするタスク|cognitive|moderate|高度な推論を必要とするタスクであるほど乖離が激しくなる
時間感覚の乖離と業務のクオリティがトレードオフ関係にある|cognitive|moderate|時間感覚の乖離と業務のクオリティがトレードオフ関係にある
1つ当たりの工数が極端に多い場合（業務の予定）|cognitive|moderate|1つ当たりの工数が極端に多い場合（業務の予定）もあり、それが他の予定行動を記憶しておく分の認知リソースを圧迫している
他の予定行動を記憶しておく分の認知リソースを圧迫している|cognitive|moderate|他の予定行動を記憶しておく分の認知リソースを圧迫している

# 行動・状況系
対人場面（連絡・調整・交渉）を避ける|behavioral|moderate|対人場面（連絡・調整・交渉）を避けずに回し、孤立を深めない土台が必要になる
孤立を深める|behavioral|moderate|孤立を深めない土台が必要になる
会話の減少|behavioral|moderate|会話の減少や外的フィードバック不足の中で
外的フィードバック不足|behavioral|moderate|外的フィードバック不足の中で
対面でのフィードバックが少ない|behavioral|moderate|対面でのフィードバックが少ない
判断が自己完結しやすい|behavioral|moderate|判断が自己完結しやすい
止めどころを失いやすい|behavioral|moderate|止めどころを失いやすい
働きすぎ|behavioral|moderate|2022年以降は特に働きすぎだったように思う
休むことに罪悪感が混ざる|behavioral|moderate|休むことに罪悪感が混ざっていた
作業のために生活を犠牲にする形が加速する|behavioral|moderate|作業のために生活を犠牲にする形が加速した
一人でできる言語活動や運動は負荷が低く、効果が薄い|behavioral|moderate|一人でできる言語活動や運動は負荷が低く、効果が薄いと感じた
改善の手応えを得にくい|behavioral|moderate|改善の手応えを得にくかった
異常を把握できない/把握しても止められない|behavioral|moderate|異常を把握できない/把握しても止められない
対処の優先順位を誤る|behavioral|moderate|対処の優先順位を誤った
自覚と修正が遅れる|behavioral|moderate|自覚と修正が遅れた
負荷が蓄積する方向に働く|behavioral|moderate|負荷が蓄積する方向に働いた感覚がある
異常やズレが表面化しにくい|behavioral|moderate|異常やズレが表面化しにくかった
能力低下が顕在化する機会が少ない|behavioral|moderate|能力低下が顕在化する機会が少ないほど、自覚と修正が遅れた
計画と実行を"できる時にやる"から"仕組みで回す"へ寄せる必要がある|behavioral|moderate|計画と実行を"できる時にやる"から"仕組みで回す"へ寄せる必要がある
通知を見ても着手できない場合|behavioral|moderate|通知を見ても着手できない場合があるため単体依存は避ける
生理的に着手できない状態|behavioral|moderate|生理的に着手できない状態を下げる
注意散漫|behavioral|moderate|注意散漫を減らす
生活リズムの固定点が少ない|behavioral|moderate|生活リズムの固定点を増やす
深夜稼働|behavioral|moderate|深夜稼働や優先順位の誤り、フィードバック不足により
優先順位の誤り|behavioral|moderate|優先順位の誤りにより
フィードバック不足|behavioral|moderate|フィードバック不足により
予定行動が崩れても立て直しにくい状態|behavioral|moderate|予定行動が崩れても立て直しにくい状態が続いた
崩れを長期化させる状態|behavioral|moderate|崩れを長期化させず早期に戻す予防になる
回復を後回しにする|behavioral|moderate|回復を後回しにせず、毎日リソースを戻す運用が不可欠になる
回復不全|behavioral|moderate|認知的負荷の蓄積が回復不全を招く
リソース枯渇を慢性化させる状態|behavioral|moderate|リソース枯渇を慢性化させず、抑うつ・不安・過集中のいずれにもつながる"根の部分（回復不足）"を早期に断つ
抑うつ・不安・過集中のいずれにもつながる"根の部分（回復不足）"|behavioral|moderate|抑うつ・不安・過集中のいずれにもつながる"根の部分（回復不足）"
監視・不利益取引・情報抜き取りなどの経験|behavioral|severe|監視・不利益取引・情報抜き取りなどの経験が不安の学習を強める
不安の学習を強める|behavioral|moderate|不安の学習を強める
心理的安全性が崩れやすい環境|behavioral|moderate|心理的安全性が崩れやすい環境になっていた
恐怖反応や反芻が強まった局面|behavioral|moderate|恐怖反応や反芻が強まった局面から戻る経路を増やす
孤立と悪循環（抑うつ→回避→孤立→悪化）を固定化させる状態|behavioral|severe|孤立と悪循環（抑うつ→回避→孤立→悪化）を固定化させない
監視体制が誤った学習を引き起こす|behavioral|severe|監視体制(情報抜き取りによるもの)が誤った学習を引き起こした
過剰な監視が発生すると思い込む|behavioral|moderate|全ての対人交流において過剰な監視が発生すると思い込んでいた
対人関係でも同じことが起こるのではないかという恐怖感|behavioral|moderate|対人関係でも同じことが起こるのではないかという恐怖感があった
自己否定感を強める可能性|behavioral|moderate|自己否定感を強める可能性がある
時間管理や予定行動の設定の認識のあまさ|behavioral|moderate|時間管理や予定行動の設定の認識のあまさなどが是正される
自己管理が苦手な人ほど負荷が大きくなる|behavioral|moderate|自己管理が苦手な人ほど負荷が大きくなる
ツール単体では根本解決にならない|behavioral|moderate|ツール単体では根本解決にならない
効果が転移しにくい|behavioral|moderate|効果が転移しにくい
成果が出ない|behavioral|moderate|成果が出ないことで自己否定感を強める可能性がある
関係構築・維持、お金、人脈形成、情報収集など必要な物事が多すぎる|behavioral|moderate|関係構築・維持、お金、人脈形成、情報収集など必要な物事が多すぎる
取引先とのコミュニケーションに違和感がある|behavioral|moderate|取引先とのコミュニケーションに違和感があり、高圧的な印象を受けていた
高圧的な印象を受ける|behavioral|moderate|高圧的な印象を受けていた
不利な取引等が発生する|behavioral|moderate|不利な取引等が発生し、収益がさらに落ちた
収益が落ちる|behavioral|moderate|収益が落ちる
マルウェアによる個人情報の抜き取りが発覚する|behavioral|severe|マルウェアによる個人情報の抜き取りが発覚した
警察にも相談したが十分な対応には至らない|behavioral|moderate|警察にも相談したが、十分な対応には至らなかった
運動能力や認知機能の根本的な改善は得られない|behavioral|moderate|運動能力や認知機能の根本的な改善は得られなかった
事業化はせず、収益にはつながっていない|behavioral|moderate|事業化はせず、収益にはつながっていない
生活環境が崩壊している|behavioral|moderate|生活環境が「崩壊している」というほどではなかったが、悪化している
成果を出せば何とかなる/今やれば取り戻せるという感覚|behavioral|moderate|「成果を出せば何とかなる」「今やれば取り戻せる」という感覚が強かった
負荷が高まる一方|behavioral|moderate|負荷が高まる一方だった
負荷が高い状態が続く|behavioral|moderate|負荷が高い状態が続き、疲労の悪循環に陥る
改善の機会を逃す|behavioral|moderate|改善の機会を逃した
生活の安定よりも作業の継続を優先しやすい|behavioral|moderate|生活の安定よりも作業の継続を優先しやすかった
作業開始前|behavioral|mild|作業開始前に脈拍とイベント境界を測定し、開始時刻と終了予定時刻を記録した
作業中|behavioral|mild|作業中に「イベント境界が少ない（時間が飛ぶ感覚）」に気づいた場合
休憩時|behavioral|mild|休憩時セーバリングをして安静への意欲を高める
起床後30分以内|behavioral|mild|起床後30分以内に脈拍とSpO2を測り、あわせて「布団にいた総時間」を記録した
午前中|behavioral|mild|午前中に回復ルーティン（ヨガ／太極拳＋水分・電解質）を"予定化"して実施した
就寝時|behavioral|mild|就寝時の食いしばりが激しくなると起床時の希死念慮や慢性的な神経失調に影響する
重要な予定または心理的要因で無意識に回避しがちな予定がある場合|behavioral|moderate|重要な予定または心理的要因で無意識に回避しがちな予定がある場合、開始時間（十分なバッファを含む）になったら連絡するように頼み、人による心理的物理的介入を行う
道徳的観念が一致しない人物/集団と交流する場合|behavioral|moderate|道徳的観念が一致しない人物/集団と交流する場合
交流の前後|behavioral|mild|交流の前後に対策を行えるだけのバッファを確保する
非道徳的な言動を見聞き/想像した出来事があった場合|behavioral|moderate|今日、非道徳的な言動を見聞き／想像した出来事があった場合
一人で考え込んだ時間がある場合|behavioral|moderate|その後に一人で考え込んだ時間も分単位で記録する
過集中・過剰な覚醒が3日以上に渡って1日1回以上該当した場合|behavioral|moderate|過集中・過剰な覚醒が3日以上に渡って1日1回以上該当した場合、過集中が習慣化・慢性化の傾向にあるとみなす
心的症状と身体的症状の両方で3つ以上該当する場合（道徳的外傷）|behavioral|severe|心的症状と身体的症状の両方で3つ以上該当する場合、道徳的外傷とみなす
4つ以上に該当する場合（過集中・過剰な覚醒）|behavioral|moderate|4つ以上に該当する場合過集中・過剰な覚醒とみなす
心的症状4つ以上、身体的症状3つ以上（体験的回避）|behavioral|moderate|心的症状4つ以上、身体的症状3つ以上で体験的回避とみなす
高強度運動や速筋の運動が少ない期間が3ヶ月以上続く|behavioral|moderate|高強度運動や速筋の運動が少ない期間が3ヶ月以上続く
体重が60~62kg以下になる|behavioral|moderate|体重が60~62kg以下になる
筋肉量が60以下になる|behavioral|moderate|筋肉量が60以下になる
摂取カロリーが過剰な状態が3日以上続く|behavioral|mild|摂取カロリーが過剰な状態が3日以上続くと著しくパフォーマンスが低下する傾向が見られた
品質の悪い揚げ物が3日ぐらい続いた日|behavioral|moderate|品質の悪い揚げ物が3日ぐらい続いた日はその他の不摂生との相性によっては精神的病質に近い症状が現れる
就寝時の食いしばりが激しくなる|behavioral|moderate|就寝時の食いしばりが激しくなると起床時の希死念慮や慢性的な神経失調に影響する
起床時の希死念慮や慢性的な神経失調|behavioral|severe|起床時の希死念慮や慢性的な神経失調に影響する
細菌感染しやすくなっている|behavioral|moderate|かみ合わせが悪く歯が削れていて細菌感染しやすくなっている
一度感染した場合|behavioral|severe|一度感染した場合抜歯の可能性が高まるので速やかに歯科での対処が必要になる
業務遂行不能に直結する状態|behavioral|severe|主観的にはかなり深刻な症状で、業務遂行不能に直結する
活動に支障が出る状態|behavioral|moderate|活動に支障が出ない程度にまで負荷を軽減することができた
改善の機会を逃した状態|behavioral|moderate|改善の機会を逃した
再発予防が必要な状態|behavioral|moderate|再発予防が必要な状態
再発パターン（孤立・モニタリング不足・負荷の押し切り）|behavioral|moderate|再発パターン（孤立・モニタリング不足・負荷の押し切り）に対して多層の回復経路を確保する
生活リズムの崩れ|behavioral|moderate|生活リズムの崩れが要因となる
孤立による外部フィードバック不足|behavioral|moderate|孤立による外部フィードバック不足が要因となる
PC作業やLLM利用を含む認知負荷の蓄積|behavioral|moderate|PC作業やLLM利用を含む認知負荷の蓄積が要因となる
抑うつ・不安・過集中・回避を相互に強化する状態|behavioral|moderate|抑うつ・不安・過集中・回避を相互に強化し、悪循環を固定化させる
悪循環を固定化させる状態|behavioral|moderate|悪循環を固定化させる状態

# 追加項目（詳細症状）
震え|physical|moderate|対人恐怖症の身体症状として震えが現れる
硬直|physical|moderate|対人恐怖症の身体症状として硬直が現れる
発声が弱まる|physical|moderate|対人恐怖症の身体症状として発声が弱まる
動悸|physical|moderate|道徳的外傷などの際に動悸が現れる
反芻|mental|moderate|道徳的外傷などの際に反芻（同じことを繰り返し考える）が起こる
脳が焼ける感覚|mental|severe|道徳的外傷などの際に脳が焼ける感覚が現れる
睡眠の不調|mental|moderate|セロトニン不足の症状として睡眠の不調が現れる
嗅覚機能の低下|mental|moderate|セロトニン不足の症状として嗅覚機能の低下が現れる
感情の起伏が無くなる|mental|moderate|セロトニン不足の症状として感情の起伏が無くなる
遂行能力の低下|mental|moderate|セロトニン不足の症状として遂行能力が低下する
共感能力の低下|mental|moderate|セロトニン不足の症状として共感能力が低下する
睡眠質の低下|mental|moderate|セロトニン不足の症状として睡眠質が低下する
慢性的な肩・首のこり|physical|moderate|自律神経の乱れの原因となる慢性的な肩・首のこり
交感神経が常に亢進状態|mental|moderate|自律神経の乱れとして交感神経が常に亢進状態ぎみになる
階段を上がるとすぐに息が上がる|physical|moderate|運動機能の低下の具体的な症状として階段を上がるとすぐに息が上がる
AIの文章を大量に読んだ後に|cognitive|moderate|AIの文章を大量に読んだ後にぼーっとする、指が動きづらくなるなどの症状が出る
筋力不足|physical|moderate|筋力不足やその他の症状の影響もあるが過剰性欲や呼吸器系の機能低下に繋がる
筋緊張|physical|moderate|肩こりなど筋緊張も悪化させた
身体的認知的負荷の増加|cognitive|moderate|パフォーマンス/生産性の低下→減益→業務増→身体的認知的負荷の増加→パフォーマンス低下の悪循環
減益|behavioral|moderate|パフォーマンス/生産性の低下により減益が発生する
業務増|behavioral|moderate|減益により業務が増える
負荷増|behavioral|moderate|業務増により負荷が増える
パフォーマンス低下|cognitive|moderate|負荷増によりパフォーマンスが低下する
生産性の低下と悪循環|cognitive|moderate|認知資源の枯渇が生産性の低下と悪循環を招く
認知・運動の低下|cognitive|moderate|LLMチャット利用後の"ぼーっとする／指が動きづらい"など認知・運動の低下が出る
認知低下を放置して押し切る再発パターン|cognitive|moderate|認知低下を放置して押し切る再発パターンの予防になる
社会的接点で偏りを矯正する|behavioral|moderate|社会的接点（人とゲーム・運動）で偏りを矯正できるようにしておく
状態変動への耐性|cognitive|moderate|認知機能の底上げと状態変動への耐性に関わる
認知資源の節約（外部記憶化）|cognitive|moderate|リマインダーは認知資源の節約（外部記憶化）として機能する
身体由来のノイズ低減|physical|moderate|筋力トレーニングやナイトガードは身体由来のノイズ低減・疲労耐性の補助として機能する
疲労耐性の補助|physical|moderate|筋力トレーニングは疲労耐性の補助として機能する
回復と再稼働の境界づけ|behavioral|moderate|人とゲーム・運動やメタ認知は、回復と再稼働の境界づけに寄与する
回復経路を増やす|behavioral|moderate|音・安心感・社会的接点・身体補助で回復経路を増やしておく
リソースを戻す|behavioral|moderate|回復を後回しにせず、毎日リソースを戻す運用が不可欠になる
状態を整えた上での深い思考|cognitive|moderate|単に長時間作業するのではなく「状態を整えた上での深い思考」を再現する必要がある
着手・集中・中断の境界を作る|behavioral|moderate|パルスシフトとメタ認知が高効果で、着手・集中・中断の境界を作りやすい
外部刺激を遮断して内省・思考整理に入る|cognitive|moderate|耳栓は外部刺激を遮断して内省・思考整理に入りやすくする
心理的安全を回復させ、思考の自由度を戻す|mental|moderate|セーバリングは心理的安全を回復させ、思考の自由度を戻す補助として使える
作業ブロックや休憩の構造化|behavioral|moderate|リマインダーは作業ブロックや休憩の構造化に使える
身体由来のノイズ低減として補助に位置づく|physical|moderate|ナイトガードは身体由来のノイズ低減として補助に位置づく
状態観察→生理調整→刺激調整|cognitive|moderate|クリエイティブ状態の再現を、（状態観察→生理調整→刺激調整）の順で回せる形にする
身体介入（太極拳／ヨガ）|physical|moderate|心理的安全性を「身体介入（太極拳／ヨガ）＋認知介入（メタ認知／セーバリング）＋刺激調整（耳栓／音）＋社会的接点（人とゲーム・運動）」として多層で再現する
認知介入（メタ認知／セーバリング）|psychological|moderate|心理的安全性を「身体介入（太極拳／ヨガ）＋認知介入（メタ認知／セーバリング）＋刺激調整（耳栓／音）＋社会的接点（人とゲーム・運動）」として多層で再現する
刺激調整（耳栓／音）|audio|moderate|心理的安全性を「身体介入（太極拳／ヨガ）＋認知介入（メタ認知／セーバリング）＋刺激調整（耳栓／音）＋社会的接点（人とゲーム・運動）」として多層で再現する
社会的接点（人とゲーム・運動）|behavioral|moderate|心理的安全性を「身体介入（太極拳／ヨガ）＋認知介入（メタ認知／セーバリング）＋刺激調整（耳栓／音）＋社会的接点（人とゲーム・運動）」として多層で再現する
測って（SpO2、脈拍）|monitoring|moderate|認知機能を「測って（SpO2、脈拍）」「整えて（太極拳／ヨガ／耳栓）」「戻して（休息系の手段）」運用する
整えて（太極拳／ヨガ／耳栓）|physical|moderate|認知機能を「測って（SpO2、脈拍）」「整えて（太極拳／ヨガ／耳栓）」「戻して（休息系の手段）」運用する
戻して（休息系の手段）|behavioral|moderate|認知機能を「測って（SpO2、脈拍）」「整えて（太極拳／ヨガ／耳栓）」「戻して（休息系の手段）」運用する
自覚（メタ認知）＋外部化（リマインダー）＋状態調整（脈拍／SpO2／水分）＋刺激調整（耳栓）|behavioral|moderate|予定行動管理を「自覚（メタ認知）＋外部化（リマインダー）＋状態調整（脈拍／SpO2／水分）＋刺激調整（耳栓）」として複線化する
外部記憶として抜け漏れを減らす|behavioral|moderate|リマインダーは外部記憶として抜け漏れを減らすが、通知を見ても着手できない場合があるため単体依存は避ける
切替のきっかけとして併用する|behavioral|moderate|ミンティアやセーバリングを"切替のきっかけ"として併用する形が整合する
生理的に着手できない状態を下げる|behavioral|moderate|SpO2測定・パルスシフト・水分電解質で生理的に着手できない状態を下げる
注意散漫を減らす|behavioral|moderate|耳栓で注意散漫を減らす
生活リズムの固定点を増やす|behavioral|moderate|人とゲーム・運動や筋力トレーニングで生活リズムの固定点を増やす
崩れを長期化させず早期に戻す|behavioral|moderate|崩れを長期化させず早期に戻す予防になる
気晴らし程度の限定的な位置づけ|behavioral|mild|論理パズルは自己評価上、効果が低く転移しにくい上に自己否定感を強める可能性があるため、この枠組みでは"気晴らし程度の限定的な位置づけ"に留める
高効果の回復（太極拳／ヨガ／耳栓）|physical|moderate|回復手段を「高効果の回復（太極拳／ヨガ／耳栓）」として主軸化する
安心感を戻して回復に入りやすくする|mental|moderate|音楽や子供の声は、安心感を戻して回復に入りやすくする補助として使える
外部刺激を落として内省や回復に入りやすくする|cognitive|moderate|耳栓は外部刺激を落として内省や回復に入りやすくし、短時間でも回復の質を上げる
回復の質を上げる|cognitive|moderate|耳栓は外部刺激を落として内省や回復に入りやすくし、短時間でも回復の質を上げる
時間感覚や状態変動への耐性|cognitive|moderate|太極拳は時間感覚や状態変動への耐性に関わる高効果の回復手段になる
就寝前ルーティンとして使いやすい|behavioral|moderate|ヨガは就寝前ルーティンとして使いやすい
回復を後回しにせず、毎日リソースを戻す|behavioral|moderate|回復を後回しにせず、毎日リソースを戻す運用が不可欠になる
睡眠の質低下や身体的不快を減らす|physical|moderate|ナイトガードは睡眠の質低下や身体的不快を減らす補助として位置づけられる
リソース枯渇を慢性化させず|behavioral|moderate|リソース枯渇を慢性化させず、抑うつ・不安・過集中のいずれにもつながる"根の部分（回復不足）"を早期に断つ
早期に断つ|behavioral|moderate|抑うつ・不安・過集中のいずれにもつながる"根の部分（回復不足）"を早期に断つことができる点が予防性になる

